"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","91310","Hectare","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","88790","Hectare","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","96654","Hectare","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","104078","Hectare","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","102753","Hectare","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","101279","Hectare","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","95209","Hectare","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","100081","Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","106999","Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","104645","Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","102820","Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Area","Maize (Crop Area)","117923","Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
