"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.82169072","Tons per Hectare","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","4.09463002","Tons per Hectare","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.93389502","Tons per Hectare","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.89247487","Tons per Hectare","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.94577287","Tons per Hectare","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.30799573","Tons per Hectare","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","4.25862764","Tons per Hectare","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.24103476","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.06510341","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.68292799","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.5","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","4.04109232","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
