PRID,LATI,LNGI,CLAF,HONU,PHAQ,TOTN,CLAY
KE89/4-5,0.5,35.4000015258789,GLe,1,5.80000019073486,2.20000004768372,IN
KE89/4-5,0.5,35.4000015258789,GLe,2,5.69999980926514,1.10000002384186,IN
KE89/4-5,0.5,35.4000015258789,GLe,3,6.90000009536743,,KA
KE89/4-5,0.5,35.4000015258789,GLe,4,6.90000009536743,,IN
KE89/4-5,0.5,35.4000015258789,GLe,5,7.69999980926514,,IN
KE9.1,0.5,35.0,NTu,1,5.59999990463257,5.40000009536743,KA
KE9.1,0.5,35.0,NTu,2,6.19999980926514,4.59999990463257,KA
KE9.1,0.5,35.0,NTu,3,6.19999980926514,1.5,KA
KE9.1,0.5,35.0,NTu,4,6.0,1.29999995231628,KA
KE9.2,0.529999971389771,35.0,LVv,1,6.90000009536743,5.40000009536743,
KE9.2,0.529999971389771,35.0,LVv,2,5.90000009536743,5.19999980926514,MO
KE9.2,0.529999971389771,35.0,LVv,3,7.5,3.20000004768372,MO
KE9.2,0.529999971389771,35.0,LVv,4,7.80000019073486,1.0,MO
KE9.2,0.529999971389771,35.0,LVv,5,7.80000019073486,0.699999988079071,MO
KE90-3,0.400000005960464,35.5,PHl,1,5.59999990463257,2.0,KA
KE90-3,0.400000005960464,35.5,PHl,2,5.90000009536743,1.39999997615814,KA
KE90-3,0.400000005960464,35.5,PHl,3,6.0,,KA
KE90-3,0.400000005960464,35.5,PHl,4,6.19999980926514,,KA
