Year,Yield_Tonnes_Ha,Area_Planted_Ha,Rain_LongRains_mm,Temp_LongRains_C,Humidity_LongRains_pct,SoilWetness_LongRains,Rain_OffSeason_mm,Temp_OffSeason_C,Humidity_OffSeason_pct,SoilWetness_OffSeason,Rain_ShortRains_mm,Temp_ShortRains_C,Humidity_ShortRains_pct,SoilWetness_ShortRains,Rain_DrySeason_mm,Temp_DrySeason_C,Humidity_DrySeason_pct,SoilWetness_DrySeason,Rain_Annual_mm,Temp_Max_Annual_C,Temp_Min_Annual_C,Temp_Max_LongRains_C,Solar_Radiation_MJ_m2,Variety,Yield_Potential_Min_tHa,Yield_Potential_Max_tHa,MLN_Risk,Variety_Code,Soil_pH,Nitrogen_g_kg,Soil_Class,Fertilizer_Kg_Ha,Rain_LongRains_Fraction,Heat_Stress_LongRains,Temp_Range_Annual_C,Drought_LongRains,Moisture_Effectiveness_LongRains
2012,2.82169072,91310,568.88,19.833333333333332,69.17999999999999,0.5499999999999999,423.77,17.62,82.63,0.6900000000000001,561.51,18.626666666666665,78.61999999999999,0.7033333333333333,157.85,18.643333333333334,66.28666666666668,0.5466666666666666,1712.01,31.37,7.98,31.37,21.69333333333333,DK8031,7,10,1,4,5.7,3.8,GLe,124,0.33228777869288145,1,23.39,27.306240000000003,312.88399999999996
2013,4.09463002,88790,608.3499999999999,19.78,74.27,0.63,331.9,17.793333333333333,80.34333333333332,0.6266666666666666,358.52,18.840000000000003,76.93666666666667,0.6133333333333333,119.71000000000001,19.14,68.57000000000001,0.5499999999999999,1418.48,30.86,9.89,30.86,21.497500000000002,DK8031,7,10,1,4,5.7,3.8,GLe,124,0.428874569962213,1,20.97,29.275745909528386,383.2604999999999
2014,3.93389502,96654,319.36,20.69666666666667,66.08333333333333,0.4666666666666666,362.36,18.51,77.50333333333333,0.5366666666666667,352.16,19.386666666666667,73.89666666666666,0.53,108.15,19.98,62.03,0.4466666666666666,1142.03,31.07,10.29,31.07,21.76833333333333,H629,8,11,0,3,5.7,3.8,GLe,124,0.279642391180617,1,20.78,14.719311722230756,149.03466666666665
2015,3.89247487,104078,632.75,20.036666666666665,69.68333333333334,0.5499999999999999,339.44,18.639999999999997,76.91333333333334,0.6633333333333332,552.6600000000001,19.67,74.24333333333333,0.59,183.48000000000002,19.78,59.78,0.48,1708.33,32.19,8.98,32.19,22.19583333333333,H6218,8,10,0,2,5.7,3.8,GLe,124,0.37039096661652027,1,23.209999999999997,30.078434479480276,348.01249999999993
2016,3.94577287,102753,621.19,20.456666666666667,73.01,0.6066666666666666,384.89000000000004,17.98,79.86666666666667,0.7033333333333333,309.7,19.226666666666667,74.12666666666667,0.59,127.88,19.42,68.04666666666667,0.5266666666666667,1443.66,31.61,9.29,31.61,21.689166666666665,DK8031,7,10,0,4,5.7,3.8,GLe,124,0.43028829502791516,1,22.32,28.950908808451143,376.85526666666664
2017,3.30799573,101279,479.21,20.69666666666667,66.77666666666666,0.5066666666666667,473.90999999999997,18.61,78.62333333333333,0.62,556.0799999999999,18.683333333333334,79.33999999999999,0.6933333333333334,146.27999999999997,19.39,62.56333333333333,0.49,1655.48,31.42,9.88,31.42,22.315833333333334,H629,8,11,0,3,5.7,3.8,GLe,124,0.2894689153598956,1,21.54,22.086802888308494,242.79973333333334
2018,4.25862764,95209,990.86,18.833333333333332,80.19333333333334,0.69,543.8,17.383333333333336,83.96333333333332,0.8633333333333333,223.6,18.82,77.06333333333333,0.7166666666666667,126.99,19.543333333333337,63.4,0.5033333333333333,1885.25,30.77,9.02,28.61,21.015,H6213,7,9,0,1,5.7,3.8,GLe,124,0.525585466118552,0,21.75,49.95932773109244,683.6934
2019,3.24103476,100081,301.25,21.64,60.99666666666667,0.43999999999999995,522.97,18.53333333333333,79.67333333333333,0.62,576.03,19.07,78.84333333333332,0.6433333333333334,299.7900000000001,19.676666666666666,67.37,0.5566666666666666,1700.04,32.71,10.69,32.71,21.7225,H629,8,11,0,3,5.7,3.8,GLe,124,0.17720171290087292,1,22.020000000000003,13.306095406360424,132.54999999999998
2020,3.06510341,106999,809.91,19.37,80.19666666666667,0.7366666666666667,706.05,17.80333333333333,83.54,0.8566666666666666,513.48,18.55333333333333,80.49333333333334,0.8266666666666667,341.98,18.396666666666665,77.27999999999999,0.71,2371.42,27.63,9.07,27.63,21.026666666666667,DK8031,7,10,0,4,5.7,3.8,GLe,124,0.3415295476971603,0,18.56,39.759941089837994,596.6337
2021,3.68292799,104645,565.94,19.573333333333334,73.56333333333333,0.6133333333333334,325.29,18.233333333333334,78.62666666666667,0.64,354.19,19.60666666666667,73.40333333333332,0.5833333333333334,258.34000000000003,18.28,74.82666666666667,0.6333333333333333,1503.76,29.03,9.43,29.03,21.303333333333335,H629,8,11,0,3,5.7,3.8,GLe,124,0.37634994946002026,0,19.6,27.50842514581983,347.10986666666673
2022,3.5,102820,388.95,20.56,65.96666666666665,0.49,516.64,18.430000000000003,76.73666666666666,0.59,435.93000000000006,18.61,77.02,0.6933333333333334,177.37,19.323333333333334,66.79,0.5133333333333333,1518.89,31.22,8.91,31.22,21.3325,H6218,8,10,0,2,5.7,3.8,GLe,124,0.25607516014984627,1,22.31,18.040352504638218,190.5855
2023,4.04109232,117923,712.3100000000001,19.736666666666668,74.86333333333333,0.6166666666666666,364.02000000000004,18.84,76.63333333333334,0.6699999999999999,832.1,19.42,77.71666666666667,0.6833333333333332,104.32,19.33666666666667,64.56,0.5433333333333333,2012.75,30.82,9.68,30.63,21.819166666666664,DK8031,7,10,0,4,5.7,3.8,GLe,124,0.35389889454726126,1,21.14,34.35026523067031,439.25783333333334
